"Title","Rating","Description","Genre"
"200.KillBill:Vol.1(2003)","8.1","    After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.","Action, Crime, Thriller            "
"201.FindingNemo(2003)","8.1","    After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.","Animation, Adventure, Comedy            "
"202.CatchMeIfYouCan(2002)","8.1","    A seasoned FBI agent pursues Frank Abagnale Jr. who, before his 19th birthday, successfully forged millions of dollars' worth of checks while posing as a Pan Am pilot, a doctor, and a legal prosecutor.","Biography, Crime, Drama            "
"203.Amoresperros(2000)","8.1","    A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love.","Drama, Thriller            "
"204.Lagaan:OnceUponaTimeinIndia(2001)","8.1","    The people of a small village in Victorian India stake their future on a game of cricket against their ruthless British rulers.","Adventure, Drama, Musical            "
"205.TheSixthSense(1999)","8.1","    A boy who communicates with spirits seeks the help of a disheartened child psychologist.","Drama, Mystery, Thriller            "
"206.TheTrumanShow(1998)","8.1","    An insurance salesman discovers his whole life is actually a reality TV show.","Comedy, Drama, Sci-Fi            "
"207.TheBigLebowski(1998)","8.1","    Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for his ruined rug and enlists his bowling buddies to help get it.","Comedy, Crime, Sport            "
"208.Faayeungninwa(2000)","8.1","    Two neighbors, a woman and a man, form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs.","Drama, Romance            "
"209.Trainspotting(1996)","8.1","    Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends.","Drama            "
"210.Fargo(1996)","8.1","    Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.","Crime, Drama, Thriller            "
"211.Lahaine(1995)","8.1","    24 hours in the lives of three young men in the French suburbs the day after a violent riot.","Crime, Drama            "
"212.BeforeSunrise(1995)","8.1","    A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.","Drama, Romance            "
"213.JurassicPark(1993)","8.1","    A pragmatic Paleontologist visiting an almost complete theme park is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.","Action, Adventure, Sci-Fi            "
"214.IntheNameoftheFather(1993)","8.1","    A man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.","Biography, Drama            "
"215.DeadPoetsSociety(1989)","8.1","    English teacher John Keating inspires his students to look at poetry with a different perspective of authentic knowledge and feelings.","Comedy, Drama            "
